1851	1
1852	1
1853	2
1854	1
1855	1
1856	2
1859	1
1860	1
1866	1
1867	1
1869	1
1870	2
1871	2
1873	2
1875	1
1876	2
1877	1
1878	2
1879	2
1880	2
1882	2
1883	2
1884	1
1886	4
1887	2
1888	2
1890	1
1891	1
1893	5
1894	4
1896	2
1898	1
1899	2
1900	2
1903	1
1905	1
1906	3
1908	1
1909	4
1910	1
1912	1
1915	3
1916	5
1917	2
1918	1
1919	1
1921	2
1922	1
1923	1
1924	2
1926	6
1927	1
1928	1
1929	1
1930	2
1931	1
1932	4
1933	6
1934	1
1935	3
1936	1
1937	1
1938	2
1939	1
1941	3
1942	1
1943	2
1944	3
1945	2
1947	2
1948	4
1949	2
1950	6
1951	3
1952	2
1953	3
1954	3
1955	4
1956	2
1957	2
1958	5
1959	2
1960	2
1961	7
1962	1
1963	2
1964	6
1965	1
1966	3
1967	1
1969	5
1970	2
1971	1
1973	1
1974	2
1975	3
1976	2
1977	1
1978	2
1979	2
1980	2
1981	3
1982	1
1983	1
1984	1
1985	3
1987	1
1988	3
1989	2
1990	1
1991	2
1992	1
1993	1
1995	5
1996	6
1997	1
1998	3
1999	5
2000	3
2001	4
2002	2
2003	3
2004	6
2005	7
2006	2
2007	2
2008	5
2009	2
2010	5
2011	4
2012	2
2014	2
