1851	1408
1852	2405
1853	2101
1854	1015
1855	594
1856	1628
1857	1707
1858	1511
1859	1773
1860	2074
1861	1766
1862	1572
1863	1826
1864	1042
1865	1626
1866	2508
1867	2031
1868	1242
1869	1603
1870	2973
1871	3229
1872	2662
1873	2539
1874	2204
1875	2577
1876	2101
1877	3133
1878	6431
1879	2643
1880	4866
1881	2464
1882	2182
1883	2659
1884	2777
1885	2676
1886	5925
1887	7582
1888	3781
1889	4430
1890	1306
1891	4849
1892	4838
1893	7941
1894	4587
1895	2675
1896	4623
1897	2515
1898	4592
1899	5690
1900	3932
1901	5321
1902	1944
1903	4300
1904	1862
1905	1592
1906	6202
1907	970
1908	4003
1909	3974
1910	2566
1911	1930
1912	2597
1913	2088
1914	176
1915	4081
1916	5826
1917	2110
1918	1745
1919	1824
1920	1524
1921	3549
1922	2477
1923	2673
1924	4421
1925	743
1926	7370
1927	2879
1928	3181
1929	2041
1930	2156
1931	3021
1932	6766
1933	9898
1934	4003
1935	4143
1936	5227
1937	3324
1938	2967
1939	2211
1940	3454
1941	2417
1942	3201
1943	3505
1944	4352
1945	3100
1946	1546
1947	3529
1948	4042
1949	4982
1950	8144
1951	6027
1952	3766
1953	5042
1954	4990
1955	6437
1956	2405
1957	3239
1958	4627
1959	3431
1960	2831
1961	6391
1962	1961
1963	4512
1964	6237
1965	3253
1966	5576
1967	-1775
1968	2887
1969	8025
1970	3878
1971	5817
1972	3246
1973	3206
1974	3972
1975	4433
1976	4680
1977	1541
1978	4135
1979	5275
1980	5852
1981	5053
1982	1708
1983	1262
1984	4650
1985	4350
1986	2326
1987	3027
1988	4798
1989	5615
1990	5495
1991	2367
1992	3365
1993	2381
1994	2137
1995	9962
1996	7227
1997	2287
1998	7512
1999	6461
2000	5774
2001	5690
2002	3937
2003	7353
2004	8222
2005	11211
2006	4484
2007	4262
2008	6687
2009	2889
2010	7804
2011	6502
2012	7487
2013	3171
2014	3476
